order_id,product_id,product_name,category,quantity,unit_price
ORD-96850799,312,CLASSIC SWEATER,Clothing,1,25.38
ORD-96850799,827,  Fun Doll  ,Toys,2,203.88
ORD-96850799,13,Classic Memoir,Books,1,161.2
ORD-51857639,126,Educational Car,Toys,1,34.3
ORD-30701221,681,Compact Speaker,Electronics,1,17.14
ORD-30701221,70,Colorful Doll,toys,2,47.77
ORD-30701221,851,Modern Chair,Home,2,226.53
ORD-35048796,1124,Classic Sweater,Clothing,2,37.56
ORD-35048796,175,Smart Headphones,Electronics,1,141.42
ORD-35048796,510,Fun Puzzle,Toys,3,62.67
ORD-35048796,1259,Illustrated Guide,Books,3,37.46
ORD-35048796,147, Portable Camera ,Electronics,2,10.54
ORD-35048796,1238,Comfortable Shirt,Clothing,2,62.67
ORD-35048796,469,Smart Camera,Electronics,1,226.02
ORD-35048796,829, Classic Jacket ,Clothing,3,56.36
ORD-44720580,961,Portable Headphones,Electronics,2,225.23
ORD-44720580,1125,Colorful Car,Toys,3,112.27
ORD-44720580,1273,Rustic Chair,Home,1,166.45
ORD-44720580,283,Colorful Puzzle,Toys,1,211.12
ORD-44720580,548,Compact Speaker,Electronics,3,62.53
ORD-44720580,1195,Rustic Table,Home,1,125.77
ORD-44720580,293,Fun Car,Toys,1,248.64
ORD-44720580,508,Fun Blocks,Toys,1,177.93
ORD-73447241,185,Rustic Chair,Home,1,210.99
ORD-73447241,850,Colorful Puzzle,Toys,1,154.81
ORD-73447241,565,Comfortable Sweater,Clothing,2,228.49
ORD-73447241,518,Cozy Table,Home,1,182.82
ORD-73447241,420,Rustic Table,Home,3,47.51
ORD-73447241,68,Hardcover Novel,Books,3,126.42
ORD-73447241,241,Stylish Sweater,Clothing,1,15.44
ORD-73447241,983,Fun Doll,Toys,1,11.74
ORD-37999032,402,Illustrated Anthology,Books,1,44.22
ORD-37999032,618,Educational Blocks,Toys,1,121.85
ORD-37999032,1215,Classic Anthology,  Books ,3,107.24
ORD-99038787,844,Modern Anthology,Books,3,219.3
ORD-99038787,900,FUN BLOCKS,Toys,3,121.18
ORD-99038787,1217,Durable Shirt,Clothing,1,196.87
ORD-99038787,221,Modern Chair,Home,3,163.5
ORD-99038787,558,cozy chair, Home ,2,114.71
ORD-53211300,940,Colorful Puzzle,Toys,5,77.78
ORD-53211300,1013,Stylish Jeans,Clothing,3,221.53
ORD-53211300,1194,Illustrated Anthology,Books,4,140.31
ORD-53211300,857,comfortable jeans,Clothing,2,111.7
ORD-53211300,845,Colorful Car, Toys  ,2,25.04
ORD-53211300,1062,Modern Memoir,Books,5,116.04
ORD-53211300,776,Stylish Jacket,Clothing,3,218.98
ORD-53211300,684,Portable Speaker,Electronics,3,206.55
ORD-53211300,3,rustic chair,Home,1,224.29
ORD-06565410,561,Durable Shirt,Clothing,3,18.1
ORD-06565410,453,Hardcover Guide,Books,2,31.04
ORD-06565410,880,Modern Rug,Home,2,217.47
ORD-06565410,631,  Compact Camera ,Electronics,2,235.11
ORD-06565410,1096,Illustrated Novel,Books,1,16.52
ORD-06565410,819,  Hardcover Anthology  ,Books,1,73.76
ORD-06565410,1233,Smart Headphones,Electronics,1,210.5
