return_item_id,return_id,order_id,product_id,product_name,category,quantity_returned,unit_price,refunded_amount
1,RTN-63489965,ORD-51857639,126,Educational Car,Toys,1,34.3,34.3
2,RTN-23377165,ORD-44720580,283,Colorful Puzzle,Toys,1,211.12,211.12
3,RTN-23377165,ORD-44720580,1195,Rustic Table,Home,1,125.77,125.77
4,RTN-23377165,ORD-44720580,293,Fun Car,Toys,1,248.64,248.64
5,RTN-23377165,ORD-44720580,548,Compact Speaker,Electronics,3,62.53,187.59
6,RTN-23377165,ORD-44720580,961,Portable Headphones,Electronics,1,225.23,225.23
7,RTN-79351132,ORD-75187475,160,Interactive Doll,Toys,2,15.29,30.58
8,RTN-79351132,ORD-75187475,318,  modern table ,Home,3,221.02,663.06
9,RTN-68497302,ORD-20402768,676,Colorful Puzzle,Toys,3,66.33,198.99
10,RTN-68497302,ORD-20402768,466,Wireless Camera,Electronics,1,44.14,44.14
11,RTN-40148585,ORD-70845628,70,Colorful Doll,Toys,1,47.77,47.77
12,RTN-41100644,ORD-90051278,1081,Stylish Jacket,Clothing,1,247.46,247.46
13,RTN-24612875,ORD-14985307,994,Elegant Rug,Home,1,147.27,147.27
14,RTN-96673070,ORD-04278246,803,Modern Rug,Home,2,147.1,294.2
15,RTN-96673070,ORD-04278246,356,Interactive Doll,Toys,1,71.69,71.69
16,RTN-96673070,ORD-04278246,343,Educational Doll,Toys,4,248.48,993.92
17,RTN-96673070,ORD-04278246,780,Educational Blocks,Toys,1,197.93,197.93
18,RTN-96673070,ORD-04278246,56,Interactive Car,Toys,3,230.06,690.18
19,RTN-96673070,ORD-04278246,868,  Classic Sweater  ,Clothing,3,181.72,545.16
20,RTN-96673070,ORD-04278246,959,Hardcover Anthology,Books,5,217.45,1087.25
21,RTN-64057384,ORD-64404459,614,Hardcover Memoir,Books,3,159.55,478.65
22,RTN-64057384,ORD-64404459,1195,Rustic Table,Home,2,125.77,251.54
23,RTN-64057384,ORD-64404459,90,Smart Monitor,Electronics,6,27.77,166.62
24,RTN-64057384,ORD-64404459,79,Portable Camera,Electronics,1,17.84,17.84
25,RTN-80202934,ORD-31203148,706,Modern Chair,Home,3,196.26,588.78
26,RTN-04026750,ORD-54326873,382,Wireless Headphones,Electronics,2,212.81,425.62
27,RTN-81374958,ORD-99847921,828,Classic Jeans,Clothing,2,31.06,62.12
28,RTN-81374958,ORD-99847921,467,Compact Speaker,Electronics,1,11.09,11.09
29,RTN-26637315,ORD-70014132,848,Modern Novel,Books,1,117.92,117.92
30,RTN-26637315,ORD-70014132,339,Portable Monitor,Electronics,1,69.66,69.66
31,RTN-26637315,ORD-70014132,264,Compact Headphones,Electronics,2,173.3,346.6
32,RTN-58599997,ORD-26538759,406,Classic Anthology,Books,2,220.29,440.58
33,RTN-58599997,ORD-26538759,233, Modern Anthology  ,Books,1,188.43,188.43
34,RTN-58599997,ORD-26538759,71,Smart Headphones,Electronics,1,125.12,125.12
35,RTN-58599997,ORD-26538759,992,Cozy Table,Home,1,150.07,150.07
36,RTN-58599997,ORD-26538759,515,Modern Rug,Home,1,122.85,122.85
37,RTN-58599997,ORD-26538759,1029, Educational Puzzle ,Toys,2,88.14,176.28
38,RTN-58599997,ORD-26538759,1034,Smart Monitor,Electronics,1,76.24,76.24
39,RTN-58599997,ORD-26538759,806,Cozy Rug,Home,1,160.23,160.23
40,RTN-33555699,ORD-38221787,1099,Elegant Lamp,Home,3,152.17,456.51
41,RTN-33555699,ORD-38221787,908,Wireless Speaker,Electronics,2,112.33,224.66
42,RTN-33555699,ORD-38221787,827,Fun Doll,Toys,1,203.88,203.88
43,RTN-94401827,ORD-73519303,452,Colorful Blocks,Toys,3,219.66,658.98
44,RTN-62023672,ORD-84657682,430,Educational Puzzle,Toys,3,223.97,671.91
45,RTN-62023672,ORD-84657682,870,Modern Novel,Books,1,140.58,140.58
46,RTN-62023672,ORD-84657682,82,Hardcover Anthology,Books,1,114.99,114.99
47,RTN-62023672,ORD-84657682,325,Cozy Table,Home,2,211.17,422.34
48,RTN-88590665,ORD-35049958,915,Smart Speaker,Electronics,2,48.61,97.22
49,RTN-88590665,ORD-35049958,451,Educational Puzzle,Toys,2,90.72,181.44
50,RTN-88590665,ORD-35049958,616,Modern Table,Home,1,149.77,149.77
51,RTN-88590665,ORD-35049958,268,  Portable Speaker ,Electronics,2,19.64,39.28
52,RTN-97228650,ORD-05082039,1169,Cozy Lamp,Home,3,97.69,293.07
53,RTN-97228650,ORD-05082039,16,Cozy Chair,Home,1,44.08,44.08
54,RTN-97228650,ORD-05082039,810,Comfortable Shirt,Clothing,1,247.74,247.74
55,RTN-97228650,ORD-05082039,1027,Illustrated Memoir,Books,2,221.22,442.44
56,RTN-48499387,ORD-35722941,969,Portable Speaker,Electronics,1,92.44,92.44
57,RTN-99553209,ORD-36566819,210,Cozy Chair,Home,1,171.02,171.02
58,RTN-99553209,ORD-36566819,818,Wireless Headphones,Electronics,1,60.59,60.59
59,RTN-87817739,ORD-81796122,439,smart monitor,Electronics,1,215.73,215.73
60,RTN-87817739,ORD-81796122,761,Rustic Table,Home,2,59.49,118.98
61,RTN-87817739,ORD-81796122,120,Modern Table,Home,1,5.98,5.98
62,RTN-87817739,ORD-81796122,228,Elegant Table,Home,2,95.69,191.38
63,RTN-87817739,ORD-81796122,612,Classic Anthology,Books,2,111.25,222.5
64,RTN-87817739,ORD-81796122,670,Modern Chair,Home,2,172.67,345.34
65,RTN-87817739,ORD-81796122,705,Elegant Chair,Home,3,177.86,533.58
66,RTN-87817739,ORD-81796122,203,Classic Memoir,Books,1,238.62,238.62
67,RTN-87817739,ORD-81796122,229,Compact Speaker,Electronics,1,66.9,66.9
68,RTN-87817739,ORD-81796122,928,Illustrated Memoir,Books,1,219.65,219.65
69,RTN-61189300,ORD-16242205,450,Classic Jacket,Clothing,1,233.08,233.08
70,RTN-67537749,ORD-15630439,395,Illustrated Memoir,Books,3,160.97,482.91
71,RTN-67537749,ORD-15630439,960,Stylish Jacket,Clothing,1,66.11,66.11
72,RTN-67537749,ORD-15630439,804,Rustic Table,Home,1,158.65,158.65
73,RTN-67537749,ORD-15630439,372,Compact Camera,Electronics,1,19.82,19.82
