cart_id,customer_id,created_at,cart_total,status
CART-40740406,GUEST-101946,2025-01-19,144.51,abandoned
CART-36746687,CUST-7249,2025-08-08,3307.53,abandoned
CART-73050312,CUST-4014,2025-02-11,375.12,abandoned
CART-87217054,GUEST-103170,2025-08-16,2429.32,abandoned
CART-28480003,GUEST-103172,2025-05-12,539.53,converted
CART-73446797,GUEST-100727,2025-08-21,2068.35,abandoned
CART-52193939,GUEST-100502,2025-03-02,190.71,abandoned
CART-04974059,GUEST-102664,2025-05-24,330.82,abandoned
CART-57151798,CUST-4004,2025-02-13,714.97,abandoned
CART-37262448,GUEST-101950,2025-08-17,2166.43,converted
CART-39746789,CUST-3203,2025-02-27,832.97,abandoned
CART-73150678,CUST-3368,2024-12-16,1994.39,abandoned
CART-33980557,CUST-3688,2025-03-29,2514.95,abandoned
CART-99016939,CUST-2656,2024-12-07,1481.25,converted
CART-50750661,GUEST-101153,2024-10-29,836.98,abandoned
CART-16581657,CUST-6619,2024-09-28,465.2,abandoned
CART-30649564,GUEST-103733,2025-01-17,1107.3,abandoned
CART-10056444,CUST-7076,2025-07-13,1014.34,abandoned
CART-14356944,CUST-5888,2025-01-27,1540.6,abandoned
CART-06029763,GUEST-103238,2025-06-05,505.8,abandoned
CART-65907018,CUST-3349,2025-07-11,1523.56,converted
CART-01065200,CUST-6696,2024-11-02,1750.24,abandoned
CART-82706779,CUST-1666,2025-06-08,1116.1,abandoned
CART-28754708,CUST-3982,2025-05-14,578.48,abandoned
CART-88417533,CUST-4496,2024-11-09,1386.24,abandoned
CART-50436988,GUEST-100170,2024-09-03,663.81,abandoned
CART-51201091,CUST-1634,2024-10-01,440.6,abandoned
CART-21387544,GUEST-101897,2025-01-09,683.33,converted
CART-36768066,GUEST-100817,2024-12-27,1013.41,converted
CART-63063562,GUEST-101495,2025-07-24,1019.22,abandoned
CART-82188628,CUST-7129,2025-06-03,1291.69,abandoned
CART-39325632,CUST-2392,2025-06-20,1679.42,abandoned
CART-17924890,GUEST-103807,2025-06-24,3007.68,abandoned
CART-36574215,GUEST-102043,2025-06-10,1082.02,abandoned
CART-56402275,CUST-3543,2025-08-07,853.0,abandoned
CART-02618814,GUEST-100693,2025-05-29,1467.03,abandoned
